Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1690502400000,2023-07-28,ETHUSDT,1861.29,1883.39,1856.52,1874.19,138695.7147,259228467.502262,219389
1690588800000,2023-07-29,ETHUSDT,1874.2,1886.58,1869.54,1880.46,72867.0269,136676328.67955,166385
1690675200000,2023-07-30,ETHUSDT,1880.45,1885.3,1848.17,1861.79,158657.5902,296504225.221497,247858
1690761600000,2023-07-31,ETHUSDT,1861.79,1877.4,1851.02,1856.14,168204.4534,313517086.161755,246487
1690848000000,2023-08-01,ETHUSDT,1856.13,1875.62,1813.8,1873.47,358476.0966,659100582.108448,411508
1690934400000,2023-08-02,ETHUSDT,1873.48,1879.74,1821.21,1839.9,254213.0553,470466371.262786,331270
1691020800000,2023-08-03,ETHUSDT,1839.9,1859.12,1826.0,1835.81,171148.052,315081750.38648,254918
1691107200000,2023-08-04,ETHUSDT,1835.81,1851.31,1815.74,1830.23,187699.4552,344687096.602038,256002
1691193600000,2023-08-05,ETHUSDT,1830.24,1839.0,1827.5,1836.48,93657.3255,171683574.022643,174254
1691280000000,2023-08-06,ETHUSDT,1836.48,1838.58,1825.86,1830.28,90403.9915,165701947.019345,169928
1691366400000,2023-08-07,ETHUSDT,1830.28,1847.0,1802.0,1829.1,224092.9059,409166592.89164895,289161
1691452800000,2023-08-08,ETHUSDT,1829.1,1876.51,1826.33,1856.3,236336.03,436891258.634858,322607
1691539200000,2023-08-09,ETHUSDT,1856.3,1871.99,1846.28,1855.35,191926.8343,356559464.883318,266834
1691625600000,2023-08-10,ETHUSDT,1855.36,1865.95,1845.38,1852.47,127321.4553,236043286.656351,208017
1691712000000,2023-08-11,ETHUSDT,1852.47,1857.26,1838.05,1848.84,113209.3103,209237745.63836,197546
1691798400000,2023-08-12,ETHUSDT,1848.84,1854.01,1846.08,1849.93,63292.6476,117106742.569844,154110
1691884800000,2023-08-13,ETHUSDT,1849.94,1862.0,1834.51,1840.73,120674.1364,222956657.347428,211874
1691971200000,2023-08-14,ETHUSDT,1840.73,1856.5,1835.0,1845.5,150196.1203,277387603.677403,244296
